Title,ImdbId
10 Cloverfield Lane (2016),tt1179933
1408 (2007),tt0450385
2 Fast 2 Furious (2003),tt0322259
21 (2008),tt0478087
22 Jump Street (2014),tt2294449
3 Idiots (2009),tt1187043
8 Mile (2002),tt0298203
9 (2009),tt0472033
Across the Universe (2007),tt0445922
Allegiant (2016),tt3410834
Analyze This (1999),tt0122933
Anchorman 2: The Legend Continues (2013),tt1229340
Anchorman: The Legend of Ron Burgundy (2004),tt0357413
Andrei Rublev (1966),tt0060107
Angels in the Infield (2000),tt0238038
Angels in the Outfield (1994),tt0109127
Animal House (1978),tt0077975
Anna (2013),tt2507192
Anna Karenina (2012),tt1781769
Anomalisa (2015),tt2401878
Ant-Man (2015),tt0478970
Antichrist (2009),tt0870984
Apocalypto (2006),tt0472043
Appleseed Alpha (2014),tt3638012
Arabian Nights (1942),tt0034465
Are You Here (2013),tt1545754
Around the World in 80 Days (2004),tt0327437
Arthur (2011),tt1334512
Assassination Classroom (2015),tt3853452
Asura (2012),tt2328505
Atlantis: The Lost Empire (2001),tt0230011
Attack on Titan II: End of the World (2015),tt4294052
Austin Powers in Goldmember (2002),tt0295178
Austin Powers: The Spy Who Shagged Me (1999),tt0145660
Bambi (1942),tt0034492
Batman & Mr. Freeze: SubZero (1998),tt0143127
Batman (1989),tt0096895
Batman: Mask of the Phantasm (1993),tt0106364
Batman & Robin (1997),tt0118688
Batman: Assault on Arkham (2014),tt3139086
Batman: Bad Blood (2016),tt4870838
Batman Begins (2005),tt0372784
One Hundred and One Dalmatians (1961),tt0055254
12 Angry Men (1957),tt0050083
Twelve Monkeys (1995),tt0114746
12 Years a Slave (2013),tt2024544
20.000 Days on Earth (2014),tt2920540
2001: A Space Odyssey (1968),tt0062622
27 Dresses (2008),tt0988595
30 Minutes or Less (2011),tt1622547
300 (2006),tt0416449
40 Days and 40 Nights (2002),tt0243736
47 Ronin (2013),tt1335975
50 First Dates (2004),tt0343660
50/50 (2011),tt1306980
9 Songs (2004),tt0411705
A Beautiful Mind (2001),tt0268978
A Bronx Tale (1993),tt0106489
A Clockwork Orange (1971),tt0066921
A Few Best Men (2011),tt1640711
A Man for All Seasons (1966),tt0060665
A Night at the Roxbury (1998),tt0120770
A Nightmare on Elm Street (2010),tt1179056
A Scanner Darkly (2006),tt0405296
Lemony Snicket's A Series of Unfortunate Events (2004),tt0339291
A Troll in Central Park (1994),tt0108395
A Very Harold & Kumar Christmas (2011),tt1268799
A View to a Kill (1985),tt0090264
Air Bud: World Pup (2000),tt0161220
Air Bud: Golden Receiver (1998),tt0140796
Akira (1988),tt0094625
Agent Cody Banks (2003),tt0313911
Airheads (1994),tt0109068
Aladdin (1992),tt0103639
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)",tt1698641
Ali G Indahouse (2002),tt0284837
Alice in Wonderland (1951),tt0043274
Alice in Wonderland (2010),tt1014759
10 Things I Hate About You (1999),tt0147800
102 Dalmatians (2000),tt0211181
17 Again (2009),tt0974661
28 Days Later (2002),tt0289043
28 Weeks Later (2007),tt0463854
300: Rise of an Empire (2014),tt1253863
(500) Days of Summer (2009),tt1022603
A Brief History of Time (1991),tt0103882
X+Y (2014),tt3149038
A Bug's Life (1998),tt0120623
A Christmas Carol (2009),tt1067106
"A Fairly Odd Movie: Grow Up, Timmy Turner! (2011)",tt1696192
A Good Day to Die Hard (2013),tt1606378
A Goofy Movie (1995),tt0113198
A Million Ways to Die in the West (2014),tt2557490
A Serbian Film (2010),tt1273235
A Sound of Thunder (2005),tt0318081
A Thin Line Between Love and Hate (1996),tt0117891
Admission (2013),tt1814621
Adventureland (2009),tt1091722
The Age of Adaline (2015),tt1655441
Alvin and the Chipmunks: The Road Chip (2015),tt2974918
Amélie (2001),tt0211915
American Reunion (2012),tt1605630
American Pie (1999),tt0163651
Anesthesia (2015),tt3317208
Angel Heart (1987),tt0092563
Are We Done Yet? (2007),tt0422774
Blue Velvet (1986),tt0090756
Bridge of Spies (2015),tt3682448
Breakfast at Tiffany's (1961),tt0054698
Cannibal Ferox (1981),tt0082700
Captain America: The First Avenger (2011),tt0458339
Captain America: The Winter Soldier (2014),tt1843866
Casino Royale (2006),tt0381061
Central Intelligence (2016),tt1489889
Clue (1985),tt0088930
Crash (2004),tt0375679
Deadpool (2016),tt1431045
Deep Web (2015),tt3312868
Delicatessen (1991),tt0101700
Die Another Day (2002),tt0246460
Drunk Stoned Brilliant Dead: The Story of the National Lampoon (2015),tt1674785
Endgame (2015),tt2941396
Eraserhead (1977),tt0074486
eXistenZ (1999),tt0120907
Fantastic Planet (1973),tt0070544
Finding Dory (2016),tt2277860
For Your Eyes Only (1981),tt0082398
Batman Beyond: Return of the Joker (2000),tt0233298
Batman Forever (1995),tt0112462
Batman: Gotham Knight (2008),tt1117563
Batman Returns (1992),tt0103776
"Batman: The Dark Knight Returns, Part 1 (2012)",tt2313197
"Batman: The Dark Knight Returns, Part 2 (2013)",tt2166834
Batman: The Killing Joke (2016),tt4853102
Batman: Year One (2011),tt1672723
Beauty and the Beast (1991),tt0101414
Bedtime Stories (2008),tt0960731
Bee Movie (2007),tt0389790
Beerfest (2006),tt0486551
Beetlejuice (1988),tt0094721
Being John Malkovich (1999),tt0120601
Big Fish (2003),tt0319061
Big Momma's House (2000),tt0208003
Big Stan (2007),tt0490086
Bill & Ted's Bogus Journey (1991),tt0101452
Bill & Ted's Excellent Adventure (1989),tt0096928
Billy Madison (1995),tt0112508
Blackhat (2015),tt2717822
Blade (1998),tt0120611
Blade II (2002),tt0187738
Blade: Trinity (2004),tt0359013
Blades of Glory (2007),tt0445934
Blank Check (1994),tt0109287
Bleach the Movie: Hell Verse (2010),tt1785394
Blood Diamond (2006),tt0450259
Bo Burnham: Make Happy (2016),tt5192124
Book of Shadows: Blair Witch 2 (2000),tt0229260
Boomerang (1992),tt0103859
Booty Call (1997),tt0118750
Brave (2012),tt1217209
Braveheart (1995),tt0112573
Breakin' All the Rules (2004),tt0349169
Brick (2005),tt0393109
Bridge to Terabithia (2007),tt0398808
Brokeback Mountain (2005),tt0388795
Bruce Almighty (2003),tt0315327
But I'm a Cheerleader (1999),tt0179116
Buzz Lightyear of Star Command: The Adventure Begins (2000),tt0181196
Cannibal Holocaust (1980),tt0078935
Captain America: Civil War (2016),tt3498820
Cartel Land (2015),tt4126304
A Slit-Mouthed Woman (2007),tt0891520
Cashback (2006),tt0460740
Alice or the Last Escapade (1977),tt0074114
All Dogs Go to Heaven (1989),tt0096787
Aloft (2014),tt2494384
Aloha (2015),tt1243974
Aloha Scooby-Doo! (2004),tt0433771
Along Came Polly (2004),tt0343135
Alps (2011),tt1859446
Amadeus (1984),tt0086879
American Beauty (1999),tt0169547
American Pie Presents: The Book of Love (2009),tt1407050
American Sniper (2014),tt2179136
American Splendor (2003),tt0305206
An American Tail (1986),tt0090633
An Extremely Goofy Movie (2000),tt0208185
Analyze That (2002),tt0289848
And So It Goes (2014),tt2465146
Antibirth (2016),tt3333870
Antz (1998),tt0120587
Apollo 13 (1995),tt0112384
Armageddon (1998),tt0120591
Astro Boy (2009),tt0375568
