Title,ImdbId
Angels in the Outfield (1994),tt0109127
Bambi (1942),tt0034492
One Hundred and One Dalmatians (1961),tt0055254
Air Bud: World Pup (2000),tt0161220
Air Bud: Golden Receiver (1998),tt0140796
102 Dalmatians (2000),tt0211181
A Bug's Life (1998),tt0120623
Captain America: Civil War (2016),tt3498820
Be Kind Rewind (2008),tt0799934
Edge of Tomorrow (2014),tt1631867
Doctor Strange (2016),tt1211837
Ant-Man (2015),tt0478970
Monsters University (2013),tt1453405
Ratatouille (2007),tt0382932
VeggieTales: The Wonderful Wizard of Ha's (2007),tt1187355
Power Rangers (2017),tt3717490
Saving Private Ryan (1998),tt0120815
Sully (2016),tt3263904
Star Wars: Episode I - The Phantom Menace (1999),tt0120915
Star Wars: Episode II - Attack of the Clones (2002),tt0121765
Star Wars: Episode III - Revenge of the Sith (2005),tt0121766
Back to the Future Part II (1989),tt0096874
Back to the Future Part III (1990),tt0099088
Star Wars: The Last Jedi (2017),tt2527336
Star Wars: The Rise of Skywalker (2019),tt2527338
The Polar Express (2004),tt0338348
Dunkirk (2017),tt5013056
The Lego Ninjago Movie (2017),tt3014284
Jumanji: Welcome to the Jungle (2017),tt2283362
