title|description

10 Cloverfield Lane (2016)|"A woman is shown lying on a bed in her underwear for a few minutes, before she dresses. Nothing sexual.A woman wears a tight white tank top with a black bra beneath it and shows some cleavage.We see a photo of a woman in a bikini in a magazine.A man tries to steady a woman who nearly fell and another man says, ""Keep your hands to yourself. No touching!"""

1408 (2007)|"A scene takes place at a part of the movie when paintings come alive. There is a painting with a woman's breast clearly visible.Mike turns on the television early-on during his stay in room 1408 and selects to view the ""adult"" film section. Titles referencing gay sex and ""housewife orgies"" are seen on-screen for a brief few seconds. Mike seems to find them in bad taste however and turns off the television, so that none of the films themselves actually get shown.In some of the old crime scene photographs that Mike flips through, he briefly sees some of the bathtub suicides. In several of these, women are lying naked in the tub with their wrists slit, however they are only shown from the shoulders up.The film's soundtrack includes the song ""We've Only Just Begun"" by The Carpenters, a song which has the verse ""a kiss for love, and we're on our way""."

2 Fast 2 Furious (2003)|"A man and a woman kiss a few times, and a woman kisses a man on the cheek.A night club scene shows many men and women dancing together with thrusting and wiggling hips and the women are scantily clad.Two women lean over a car polishing it, and a man grabs their buttocks, and a man smacks a woman's buttocks.A woman sucks on a lollipop seductively.A woman eats a grape seductively.A man asks a woman ""when are you going to pop my clutch?"" and the woman responds ""when you get the right set of tools"".A man says to another man as he's being taken to jail ""don't drop the soap..."", implying prison rape.Two men admire women in several scenes, sometimes making suggestive remarks.Women wear small, tight-fitting outfits and bikinis throughout the movie exposing cleavage, bare abdomens, bare shoulders and backs, bare buttocks and bare legs.A man takes off his shirt and we see him bare-chested.A man sleeps in bed with no shirt on (we see his bare back).A man's shirt is torn open and we see his bare chest."

21 (2008)|The main characters hang out at a strip clubs several times.Women in lingerie are briefly seen in the background. There is no nudity.1 reference to sex.2 Sex Related Jokes.1 woman is seen in a bra for a moment.A man and a woman have sex.a strip club scene with a lot of strippers , thongs , sensuality

22 Jump Street (2014)|A man mentions that he had surgery after his penis was shot off and got a vagina, he mentions that it bleeds a lot, like the elevator doors opening in The Shining. He also mentions that he has a sexual relationship with a man, he then graphically describes some of it.It is implied that two college students had sex. Both the boy and girl are seen in bed, we see the girl in a shirt and panties, and the man in a shirt and boxers. A girl graphically describes the noises the man made while he was having sex and how it looked.A man mentions that he had sex and describes the position they tried. A man gives him a high five for getting laid.A huge beach party is seen for about 20 minutes of the movie, boys and girls are seen in swim trunks and skimpy bikini tops and bottoms.A man and woman make out briefly at a beach party.A weird fist fight between a man and woman has sexual dialogue and humor. The woman thinks the man tries to have sex with her.A man gets lube squirted in his face.A woman is shown in a bath towel after showeringThere is strong sexual dialogue and humor throughout the movie. Crude references to sex and male and female body parts. There is no sex in this movie at all.

3 Idiots (2009)|No sex or nudity, but note the following:There is a scene of ragging (hazing) where male students are pulling down their pants to have buttocks stamped. However, no nudity is seen, and it is comic in tone.There is a reference to someone being called gay, and a bit of gay humor (comic in tone, unoffensive).A student slides magazines under the other students' doors to keep them from studying. Only the covers are shown, with women in skimpy clothing. One student is shown stroking his bare chest as he looks at a magazine.

8 Mile (2002)|"A man and his new girlfriend have sex somewhere private at a factory he's working at (no nudity whatsoever)At the first round of the rap battle at the end of the movie. Jimmy shows his bare ass to the crowd when he finishes ""walk my white ass back across 8 Mile"". Shown less than a few seconds.Visible nudity does not go beyond Kim Basinger's naked behind, but sexual intercourse and orgasms are depicted clearly and openly in three instances."

9 (2009)|None.

Across the Universe (2007)|A man sketches a sleeping woman. The woman rolls over, briefly revealing her bare breast.Many sketches of nude women can be seen.Many scenes imply sex.Two people seen nude during a fantasy sequence. Their bodies are wrapped around each other so only their buttocks can be briefly seen.A man floats naked in a lake. His genitals are in heavy shadow and are not visible.Completely nude women wearing white body paint are seen. Full frontal nudity (including breasts and genitals) is visible, however the white paint makes it very difficult to make out anything explicit.Bare buttocks are seen very briefly when young men receive physical examinations.Suggestive dialogue, clothing and dancing throughout.

Allegiant (2016)|The film contains a sequence depicting a woman going through a decontamination process, where full rear nudity of the woman can be seen, although the scene is very dark, so it's hard to see many details. Later the woman is seen fully nude from the front, but not much more is shown besides some cleavage.A woman wears a white dress revealing cleavage.Two characters kiss a few times, although each one doesn't last very long.

Analyze This (1999)|A couple are shown having sex under the covers. No nudity.There are some crude jokes

Anchorman 2: The Legend Continues (2013)|Brief sex scene that last around 30 seconds. Not much is shown but can be cringey to watch with you parents or kids.A lady grabs a man by the testicles and throws him onto a thin glass window.A man tells another man that he has a date, the man shows him a cabinet of condoms.A man gives his 7-year-old son a lingerie set to give to his wife, instead the boy puts it on his head and runs around the room.Not as bad as the first one.

Anchorman: The Legend of Ron Burgundy (2004)|"A man goes up to a woman and intentionally tries to grab a woman's breasts. He offers to go out on a date with her and have some sex, but she punches him in the groin.NOT appropriate for under 14s! Many sexual references - whilst fairly mild, add up to inappropriate viewing for under 14s.This movie has a number of suggestive scenes and the dialogue contains some sex jokes.A man and a woman kiss passionately in bed. It is implied that they have sex. Ron tells everyone that he had sex with her.A man gets a very obvious erection in his pants for an extended sequence. A woman points it out and he tries to ""walk the situation off"" in his office.A man says that in German 'San Diego' means a whale vagina.One character says he wants to slather BBQ sauce on another character's rear endA man says he wants to be friends with a woman's butt. Another man also says, ""there is a party in my pants.""A woman is wearing only an apron (small part of the breast visible)A man wears tighty-whitey underwear and thrusts his crotch at a woman to distract herA man invites a woman to a ""party in his pants"" (and then another man)"

Andrei Rublev (1966)|A nude pagan cult is seen running through a forest. Although most of the nudity is obscure, we briefly see a close shot of a naked woman. Full-frontal and pubic hair is shown.A man does a handstand and his bare butt is seen.A group of men and women run through the woods and wade through a river in the nude. Again, nonsexual and completely obscured by shadowsMoaning sounds of a woman while kissing can be heard. Nothing is seen.A woman is seen jumping from a stair. Her skirt flips up but it's unintentional and obscured by the darknessA man (who is tied up) discuses morality with a woman. The woman suddenly kisses him then. Afterwards she strip naked. The scene last for a short moment.A woman's robe slips off as she's running but there's no nudity because the scene takes place at night and everything is obscured by the darkness.A woman is seen being dragged away by men. This can be unsettling for some viewers.A group of soldiers watch a woman lying with her skirt lifted slightly and some of her thigh showing.A lunatic woman pees while standing inside a monastery with her clothes on.A man kisses another man on the lips at the coronation. This isn't sexual because in a historical context it was just another formality for the Russians.A general remark on all this: all of the nudity scenes are in a 11 minute segment of the movie; and although the descriptions make it seem like there is a lot of nudity being shown, the final effect is very mild, mostly used in a non-sexual manner, since the director, Tarkovsky, was a very conservative Catholic.

Angels in the Infield (2000)|"There is one mention of ""breast""."

Angels in the Outfield (1994)|A man is seen soaking in a tub, but only his head and arm are shown.A female angel gooses a baseball player.

Animal House (1978)|"A man and woman make out in a car and we see her bare breastsA man sees a girl asleep. He contemplates sexually assaulting her. Played for ""comedic effect"" with an angel and demon on his shoulder.A man and a woman go into a bedroom and the woman strips down attempting sex. She is seen on the bed naked, her bare breasts are shown.A man climbs a ladder and looks into a bedroom with a group of women; they are shown topless. He peaks into another room, and a woman starts to remove her underwear, and it's implied that she will start masturbating. He falls off the ladder before anything else is shown.A man walks into a house and finds a naked woman (we see her bare back and buttocks as she puts on her shirt).A man and an older woman enter a room, he removes her coat, she undresses and we see her in lingerie (shoulders and legs are visible), he picks her up and puts her onto a bed while they continue to kiss (sex is implied)A man appears with a towel wrapped around his waist, he removes the towel to get dressed and we see his bare buttocksA man hands another man a phallic toy that is a long dildo, and suggests he use it with his girlfriend.A man asks a woman if she wants to go on a date with him and we cut to them lying under a blanket on a football field; they talk about how neither of them have had sex and do not know what to expect, he begins to remove his shirt (we see his bare chest), she tells him that she is underage and the scene endsA womans shirt is ripped off of her by another woman, we see her in her bra.We see a woman in lingerie lying next to a man in bed while he talks on the phone trying to seduce him.A woman on a parade float is thrown into the window of a young boy (she is wearing a one-piece bathing suit and fishnet stockings), and he appears excited (we see him reading a pornographic magazine but nothing is discernable)We see a womans bare leg and thigh while she sits on a bleacher and another man looks up her skirt from underneath"

Anna (2013)|

