title|description

Angels in the Outfield (1994)|A man is seen soaking in a tub, but only his head and arm are shown. A female angel gooses a baseball player.

Bambi (1942)|"Later on when the animals, Bambi, Thumper and Flower are all grown up they each become ""twitterpated"" in which they each experience intense feelings and an attraction to the opposite gender of their species. Thumper thumps uncontrollably when he is approached and touched by a female rabbit. Flower turns rigid and blushes before falling over when a female skunk touches him on the nose. Bambi at first avoids Faline,but after getting his antlers stuck in a tree branch she licks him on the cheek, he is then shown with Faline in an altered sense of reality jumping through the clouds."

One Hundred and One Dalmatians (1961)|None

Air Bud: World Pup (2000)|Little to none.

Air Bud: Golden Receiver (1998)|Could be tensely emotional at points and times throughout the film. Suggested MPAA rating: PG for mild language, and some thematic material.

102 Dalmatians (2000)|None.

A Bug's Life (1998)|Flick and Atta flirt. The character Francis is a ladybug who often plays in drag, and is mistaken for being a female by two flies. This becomes a recurring joke throughout the rest of the film.

Captain America: Civil War (2016)|Women wear skin tight, cleavage revealing clothing. Captain America briefly kisses a woman

Be Kind Rewind (2008)|"At the beginning, someone talks about ""loads of music, loads of food, and loads of women."" A man makes a joke about having an ""interracial, homosexual"" relationship. He then talks about sexual harrassment. A man asks a man dressed up as a woman if he's menstruating. Strong PG"

Edge of Tomorrow (2014)|"No sex or nudity is present. There are sexual jokes and conversations, but nothing is shown on-screen. 00:14:57-00:15:00-A man gears up wearing only his jock strap, then you see his bare buttocks through the gear. A man makes a joke about being with two women (sex is not mentioned). Two sexual jokes are given. In one scene a male character asks a female, that since something is in his blood can it be transferred to her (while making arm thrusting motions). The female character asks ""Oh, you mean sex?"" then claims she's tried that already (having been in the same situation). A female character performs a somewhat sensual maneuver as part of an exercise routine. Man and woman kiss."

Doctor Strange (2016)|A man asks a woman if she's sleeping with somebody. One kiss.

Ant-Man (2015)|In one scene a character refers to 'the first boobs I ever touched' Ant-Man contains infrequent mild sexual references.

Monsters University (2013)|Nothing at all. None.

Ratatouille (2007)|"We briefly see a painter working on risque paintings of women (scantily clad, bare back, nude profile blocked from view in convenient places). When a man tries to tell a woman about Remy, he says he has ""a tiny little --"" then she looks down at his crotch. A man and a woman kiss, and a woman and a young man kiss in a few scenes. A woman confesses that she likes a young man and he tells her that he loves her. A woman talks about someone ""messing around with"" a man's daughter. We see a young man's bare chest when he lifts his shirt to show scratch and bite marks from a rat. A young man tries to find a place to hide a rat, that includes putting it down his pants (we see the waistband of his underwear).The French sensually in this will most likely go over kid's heads, nothing to worry about."

VeggieTales: The Wonderful Wizard of Ha's (2007)|

Power Rangers (2017)|"None. There are no sex or nudity shown in this movie. Some Sexual References Some Suggestive Content It is mentioned that Kimberly shared an explicit photo to her boyfriend with a crude remark about it, who in turn, shared it to the entire school. The photo is never seen, however. Two boys are heard talking about masturbating a bull; one boy mentions he milked her, but the other boy clarifies it's a ""him,"" and that ""one udder"" was in fact not an udder. It is mentioned that it was kind of big and took two hands (a hand motion is made). No action of this is shown, but the bull's erect penis is shown. The scene is non-sexual and is played for laughs. Kimberly takes off her t-shirt to reveal a bathing suit before diving into some water. The campfire scene starts with all of the rangers. This is where Trini the yellow ranger discusses her relationships, and the other asks if she has either boyfriend troubles or girlfriend troubles. Per the director this is inferring that she either is Lesbian or bi-sexual or it could also be interpreted as confused."

Saving Private Ryan (1998)|There is no sex or nudity in the film, just one mildly suggestive story told by one of the soldiers towards the end.

Sully (2016)|"One man is wrapped in a towel. The scene is not sensual in nature. An airline worker flirts with a passenger and allots him seat ""6C""."

Star Wars: Episode I - The Phantom Menace (1999)|None.

Star Wars: Episode II - Attack of the Clones (2002)|Once in hiding on her home planet, Padm� wears various outfits that are somewhat revealing. One shows her bare back and shoulders, another is cut low up top, and a third is formfitting and accentuates her figure (and later is ripped in battle at the bottom to reveal her bare midriff). At a bar you can see a woman wearing a thong that is very revealing. You can almost see her bare butt but the scene is very brief and lasts about a second. There are also various other women throughout the movie who wear revealing clothing. Anakin and Padm� kiss passionately on a few occasions. There is some mild flirting between them. In bed, with every part of him below his chest covered by sheets, Anakin shirtless or naked is laying on his back.

Star Wars: Episode III - Revenge of the Sith (2005)|We see a shirtless man (as he puts on a bathrobe). A husband and wife frequently kiss and hug. A female alien is shown wearing a dress, which reveals cleavage.

Back to the Future Part II (1989)|"biff in the nude is seen in a hot tub with two completely nude women but we only see some of their top side breasts and shoulders as the rest is covered by bubbly water. One of the Members of Griff's gang asks Marty Junior ""Got no scrote?"", then grabs him by his groin and tosses him over the diner's counter. This could be considered molestation. Also considered Violence. In a alternate timeline, the main character's mother has had plastic surgery on her breasts to enlarge them. Only her cleavage is shown. A man heavily french kisses a woman who is not enjoying it. Several shots of women in their underwear, and stockings and suspenders in a 50's adult magazine. Very brief."

Back to the Future Part III (1990)|Characters kiss. At a saloon there are women, supposedly prostitues, walking around. A male character wakes up and his long-John type pajamas have a hole in the bottom that reveal a small section of his butt.

Star Wars: The Last Jedi (2017)|A man is shown with his shirt off, but wearing high-waisted pants. The man is quite muscular. A female character stutters and asks him to put on a shirt. He does not. They have a conversation. The entire scene is about 30-60 seconds long. A woman suddenly gives a small kiss on the lips to another man without consent. He seems surprised and doesn't really reciprocate at the time, although he does behave tenderly towards her in a later scene. Luke milks a creature that has four large, strangely un-animal-like udders (They look like breasts). The creature lets out a piercing orgasmic moan. He then drinks the milk. People wear somewhat revealing clothing on Canto Bight. Maz Kanata makes a small suggestive comment about a male character. Two other characters trade perplexed glances at this.

Star Wars: The Rise of Skywalker (2019)|Occasional light romance, including a few kisses throughout the film. Two characters, male and female, share a kiss. On a later occasion, two background characters, female and female, share a kiss with brief hand holding minutes later.

The Polar Express (2004)|None.

Dunkirk (2017)|No sex or nudity. A male character is shown squatting to defecate, but no nudity is visible.

The Lego Ninjago Movie (2017)|"Garmadon mentions that when he hugs himself, it looms like two people ""making out with each other"""

Jumanji: Welcome to the Jungle (2017)|"Two teenagers share a passionate kiss. One of the characters is a teenage girl who is inside of the body of a middle aged man. There is an extended scene where ""she"" is taught how to use a penis to pee. Later, after ""she"" hugs an attractive younger man, ""she"" becomes aroused, and other characters notice ""she"" had an erection. She looks down at her crotch, and remarks how cool penises are. A teenage girl trapped in a grown man's body, she becomes fixation with her newfound genitals and makes several references to it throughout the film. A female character performs a short, mildly suggestive dance on two men as a distraction. A perverted male character asks to see the female character press her private chest. The subtitular end credits song contains the word ""sexy"" and audio of a performer sexually moaning. One character wears clothing that Reveals mild cleavage and exposes her stomach"
